Date Time,min,max,mean,id
2022-02-01,3.471,6.831,5.1633706,8726520
2022-02-06,3.675,5.515,4.5662293,8726520
2022-02-11,3.179,5.594,4.5045123,8726520
2022-02-16,3.356,5.781,4.771325,8726520
2022-02-21,3.917,5.817,4.71305,8726520
2022-02-01,28.343,31.919,30.156008,8726607
2022-02-06,28.543,30.623,29.512766,8726607
2022-02-11,28.048,30.561,29.483246,8726607
2022-02-16,28.222,30.856,29.736662,8726607
2022-02-21,28.786,30.951,29.689775,8726607
2022-02-01,0.243,4.094,2.235875,8726674
2022-02-06,0.509,2.792,1.6142209,8726674
2022-02-11,0.062,2.776,1.5813209,8726674
2022-02-16,0.098,2.943,1.8089541,8726674
2022-02-21,0.725,3.074,1.7845917,8726674
2022-02-01,1.854,20.125,11.501363,9454240
2022-02-06,7.031,18.727,13.093217,9454240
2022-02-11,7.323,16.184,12.157458,9454240
2022-02-16,3.97,18.317,11.611058,9454240
2022-02-21,5.016,17.146,10.972758,9454240
2022-01-01,3.051,6.526,4.4980083,8447930
2022-01-06,2.802,5.292,4.0898957,8447930
2022-01-11,2.707,4.114,3.385496,8447930
2022-01-16,2.513,4.688,3.4754457,8447930
2022-01-21,2.723,4.665,3.5181084,8447930
2022-01-26,2.812,4.767,3.6553917,8447930
2022-01-31,1.85,5.22,3.2344542,8447930
2022-01-01,2.808,10.121,6.3408833,8665530
2022-01-06,3.488,9.774,6.743621,8665530
2022-01-11,3.776,8.527,6.3680625,8665530
2022-01-16,4.37,10.056,7.1160126,8665530
2022-01-21,3.304,8.98,6.107321,8665530
2022-01-26,3.445,8.448,6.209346,8665530
2022-01-31,1.965,9.728,6.052925,8665530
2022-01-01,3.448,15.732,11.376859,9449424
2022-01-06,4.573,17.421,11.985105,9449424
2022-01-11,7.762,15.384,12.014083,9449424
